time;flags;procId;fpStatus;refAs;refAlt;fpItemId
877,593;0;0;3;90;150;1
878,092;0;0;3;90;150;1
878,592;0;0;3;90;150;1
879,091;0;0;3;90;150;1
879,59;0;0;3;90;150;1
880,089;0;0;3;90;150;1
880,588;0;0;3;90;150;1
881,088;0;0;3;90;150;1
881,587;0;0;3;90;150;1
882,086;0;0;3;90;150;1
882,585;0;0;3;90;150;1
883,084;0;0;3;90;150;1
883,584;0;0;3;90;150;1
884,083;0;0;3;90;150;1
884,582;0;0;3;90;150;1
885,081;0;0;3;90;150;1
885,58;0;0;3;90;150;1
886,08;0;0;3;90;150;1
886,579;0;0;3;90;150;1
887,078;0;0;3;90;150;1
887,577;0;0;3;90;150;1
888,076;0;0;3;90;150;1
888,576;0;0;3;90;150;1
889,075;0;0;3;90;150;1
889,574;0;0;3;90;150;1
890,073;0;0;3;90;150;1
890,572;0;0;3;90;150;1
891,072;0;0;3;90;150;1
891,571;0;0;3;90;150;1
892,07;0;0;3;90;150;1
892,569;0;0;3;90;150;1
893,068;0;0;3;90;150;1
893,568;0;0;3;90;150;1
894,067;0;0;3;90;150;1
894,566;0;0;3;90;150;1
895,065;0;0;3;90;150;1
895,564;0;0;3;90;150;1
896,064;0;0;3;90;150;1
896,563;0;0;3;90;150;1
897,062;0;0;3;90;150;1
897,561;0;0;3;90;150;1
898,06;0;0;3;90;150;1
898,56;0;0;3;90;150;1
899,059;0;0;3;90;150;1
899,558;0;0;3;90;150;1
900,057;0;0;3;90;150;1
900,556;0;0;3;90;150;1
901,056;0;0;3;90;150;1
901,555;0;0;3;90;150;1
902,054;0;0;3;90;150;1
902,553;0;0;3;90;150;1
903,052;0;0;3;90;150;1
903,552;0;0;3;90;150;1
904,051;0;0;3;90;150;1
904,55;0;0;3;90;150;1
905,049;0;0;3;90;150;1
905,548;0;0;3;90;150;1
906,048;0;0;3;90;150;1
906,547;0;0;3;90;150;1
907,046;0;0;3;90;150;1
907,545;0;0;3;90;150;1
908,044;0;0;3;90;150;1
908,544;0;0;3;90;150;1
909,043;0;0;3;90;150;1
909,542;0;0;3;90;150;1
910,041;0;0;3;90;150;1
910,54;0;0;3;90;150;1
911,04;0;0;3;90;150;1
911,539;0;0;3;90;150;1
912,038;0;0;3;90;150;1
912,537;0;0;3;90;150;1
913,036;0;0;3;90;150;1
913,536;0;0;3;90;150;1
914,035;0;0;3;90;150;1
914,534;0;0;3;90;150;1
915,033;0;0;3;90;150;1
915,532;0;0;3;90;150;1
916,032;0;0;3;90;150;1
916,531;0;0;3;90;150;1
917,03;0;0;3;90;150;1
917,529;0;0;3;90;150;1
918,028;0;0;3;90;150;1
918,528;0;0;3;90;150;1
919,027;0;0;3;90;150;1
919,526;0;0;3;90;150;1
920,025;0;0;3;90;150;1
920,524;0;0;3;90;150;1
921,024;0;0;3;90;150;1
921,523;0;0;3;90;150;1
922,022;0;0;3;90;150;1
922,521;0;0;3;90;150;1
923,02;0;0;3;90;150;1
923,52;0;0;3;90;150;1
924,019;0;0;3;90;150;1
924,518;0;0;3;90;150;1
925,017;0;0;3;90;150;1
925,516;0;0;3;90;150;1
926,016;0;0;3;90;150;1
926,515;0;0;3;90;150;1
927,014;0;0;3;90;150;1
927,513;0;0;3;90;150;1
928,012;0;0;3;90;150;1
928,512;0;0;3;90;150;1
929,011;0;0;3;90;150;1
929,51;0;0;3;90;150;1
930,009;0;0;3;90;150;1
930,508;0;0;3;90;150;1
931,008;0;0;3;90;150;1
931,507;0;0;3;90;150;1
932,006;0;0;3;90;150;1
932,505;0;0;3;90;150;1
933,004;0;0;3;90;150;1
933,504;0;0;3;90;150;1
934,003;0;0;3;90;150;1
934,502;0;0;3;90;150;1
935,001;0;0;3;90;150;1
935,5;0;0;3;90;150;1
936;0;0;3;90;150;1
936,499;0;0;3;90;150;1
936,998;0;0;3;90;150;1
937,497;0;0;3;90;150;1
937,996;0;0;3;90;150;1
938,496;0;0;3;90;150;1
938,995;0;0;3;90;150;1
939,494;0;0;3;90;150;1
939,993;0;0;3;90;150;1
940,492;0;0;3;90;150;1
940,992;0;0;3;90;150;1
941,491;0;0;3;90;150;1
941,99;0;0;3;90;150;1
942,489;0;0;3;90;150;1
942,988;0;0;3;90;150;1
943,488;0;0;3;90;150;1
943,987;0;0;3;90;150;1
944,486;0;0;3;90;150;1
944,985;0;0;3;90;150;1
945,484;0;0;3;90;150;1
945,984;0;0;3;90;150;1
946,483;0;0;3;90;150;1
946,982;0;0;3;90;150;1
947,481;0;0;3;90;150;1
947,98;0;0;3;90;150;1
948,48;0;0;3;90;150;1
948,979;0;0;3;90;150;1
949,478;0;0;3;90;150;1
949,977;0;0;3;90;150;1
950,476;0;0;3;90;150;1
950,976;0;0;3;90;150;1
951,475;0;0;3;90;150;1
